O=C1C(=O)C(Br)=C(Br)C(Br)=C1Br
[C]Oc1[c][c]c(Br)c(C([O])=O)[c]1
[C]c1[c][c]c2c(Br)[c]c(Br)c([O])c2n1
[O]c1c(Br)[c]c(Br)c2[c][c][c]nc12
[C]Oc1[c]c([C])[n+]([O-])c([C])c1Br
[C]Oc1[c][c]c([C]2N([O])C([C])([C])C([C])([C])N2[O])[c]c1Br
Brc1[c]c(-c2[c]c(-c3[c][c][c]c(C4=NN=N[N]4)n3)nc(-c3[c][c][c]c(C4=NN=N[N]4)n3)[c]2)sc1Br
[O]c1c2[c]c(Cl)[c]c1/[C]=N/[C][C]O[C][C]O[C][C]/N=[C]/c1[c]c(Cl)[c]c(c1[O])[C]N([C][C]c1[c][c][c][c]c1Br)[C]2
[O]C1=C(Br)[C](Br)C(Br)=C(Br)C1=O
[C]c1[c]c(/N=[C]/c2[c]c(Br)[c]c(Br)c2[O])c(/N=[C]/c2[c]c(Br)[c]c(Br)c2[O])[c]c1[C]
[O]c1c(Br)[c]c(Br)[c]c1/[C]=N/c1[c][c][c][c]c1/N=[C]/[C]1[C]=C(Br)[C]=C(Br)C1=O
[O]c1c(Br)[c]c(Br)[c]c1[C]N([C]c1[c][c][c][c]n1)[C]c1[c]c(Br)[c]c(Br)c1[O]
[C][C](/N=[C]/c1[c]c(Cl)[c]c(Br)c1[O])[C]([C])/N=[C]/c1[c]c(Cl)[c]c(Br)c1[O]
[O]c1c(Br)[c]c([N+](=O)[O-])[c]c1Br
[O]c1c(Br)[c][c][c]c1/[C]=N/c1[c][c][c][c]c1/N=[C]/c1[c][c][c]c(Br)c1[O]
[O]c1c(Br)[c]c(Br)c2[c][c]c(-c3nc4[c][c][c][c]c4o3)nc12
Brc1[c][c]nc2c1[c][c]c1c(Br)[c][c]nc12
[C][C]([C])[C][C][C][C]1[C]([C])[C]1N([O])C(=[N])c1[c][c][c]c(Br)n1
[C][C][Al](c1[c][c][c]c(Br)n1)(c1[c][c][c]c(Br)n1)c1[c][c][c]c(Br)n1
[C]C1([C])[N][C](c2[c][c][c]c(Br)n2)N([O])C1([C])[C]
[C]C1([C])N([O])[C](c2[c][c]nc(Br)[c]2)N([O])C1([C])[C]
[C]Oc1[c]c(Br)[c]c(C2=Nc3[c][c][c][c]c3[N]2)c1[O]
[O]c1c(Br)[c]c(Br)[c]c1/[C]=N/c1[c][c][c]c2[c][c][c]nc12
[O]c1c(Br)[c]c(Br)[c]c1/[C]=N/[C][C][C]/N=[C]/c1[c]c(Br)[c]c(Br)c1[O]
[C]C([C])([C])c1[c]c(Br)[c]c(C([C])([C])[C])c1[O]
[O]c1[c]c(Br)c(Br)[c]c1[O]
[O]c1[c][c]c(Br)[c]c1/[C]=N/c1[c][c][c]c2[c][c][c]nc12
[C]C([C])([C][N][C]c1[c]c(Br)[c][c]c1[O])[C]/N=[C]/c1[c]c(Br)[c][c]c1[O]
[C][C]([N]C(=O)c1[c]c(Br)[c]c([C]N2[C][C]N([C]c3[c]c(Br)[c]c(C(=O)[N][C]([C])c4[c][c][c][c][c]4)n3)[C][C]N([C]c3[c]c(Br)[c]c(C(=O)[N][C]([C])c4[c][c][c][c][c]4)n3)[C][C]2)n1)c1[c][c][c][c][c]1
[C][P@]([O])(=O)c1[c]c(Br)[c]c([C]N2[C][C]N([C]c3[c]c(Br)[c]c([P@]([C])([O])=O)n3)[C][C]N([C]c3[c]c(Br)[c]c([P@]([C])([O])=O)n3)[C][C]2)n1
[O]c1c(Br)[c]c(Br)[c]c1/[C]=N/c1[c][c][c][c]c1/N=[C]/c1[c]c(Br)[c]c(Br)c1[O]
[O]C(=O)c1[c]n[c]c(Br)[c]1
[C]C1([C])N([O])[C](c2[c][c]c([O])c(Br)[c]2)N([O])C1([C])[C]
O=C([C]C(=O)c1[c][c][c]c(Br)[c]1)c1[c][c][c]c(Br)[c]1
Brc1[c][c]c(-c2[c][c]c(Br)[c]n2)n[c]1
Brc1[c][c]c(-c2[c][c][c][c]n2)n[c]1
[C]c1o[c]c(Br)c(=O)c1[O]
[C]c1[c][c]c2c(n1)C(=O)[C](Br)[C]=C2Br
O=C1[C](Br)[C]=C(Br)c2[c][c][c]nc21
O=C1C(Br)=[C][C](Br)c2[c][c][c]nc21
[C]C([C])([C][N])[C]/N=[C]/[C]1[C]=C(Br)[C]=[C]C1=O
[O]c1[c][c]c2[c][c][c][c]c2c1/[C]=N/c1[c][c]c(Br)[c][c]1
O=C([C]C(=O)C(F)(F)F)c1[c][c]c(Br)[c][c]1
[O]C(=O)c1[c][c]c(Br)[c][c]1
Brc1[c][c]c(C2=Nc3c(c4[c][c][c]nc4c4n[c][c][c]c34)[N]2)s1
Brc1[c][c]c(-c2[c]c(-c3[c][c][c]c(C4=NN=N[N]4)n3)nc(-c3[c][c][c]c(C4=NN=N[N]4)n3)[c]2)[c][c]1
Brc1[c][c]c(-c2[c]c(-c3[c][c][c][c]n3)nc(-c3[c][c][c][c]n3)[c]2)[c][c]1
O=C([C]C(=O)C(F)(F)F)c1[c][c]c(Br)s1
Brc1[c][c]c(-c2[c]c(-c3[c][c][c]c(C4=NN=N[N]4)n3)nc(-c3[c][c][c]c(C4=NN=N[N]4)n3)[c]2)s1
[C]C1([C])N([O])[C](c2[c][c]c(Br)[c][c]2)N([O])C1([C])[C]
[Li]Oc1c([C][N]c2[c][c]c(Br)[c][c]2)[c]c(C([C])([C])[C])[c]c1C([C])([C])[C]
[Li]Oc1c([C][N]c2[c][c]c(Br)[c][c]2)[c]c(C([C])([C])[C][C])[c]c1C([C])([C])[C]
[Li]Oc1c([C][N]c2[c][c]c(Br)[c][c]2)[c][c][c]c1C([C])([C])[C]
[O]c1[c][c]c(Br)[c]c1[C][N][C][C]N([C][C][N][C]c1[c]c(Br)[c][c]c1[O])[C][C][N][C]c1[c]c(Br)[c][c]c1[O]
[O][Si](c1[c][c]c(Br)[c][c]1)(c1[c][c]c(Br)[c][c]1)c1[c][c]c(Br)[c][c]1
[O]C(=O)c1[c][c][c]c(-c2nc3[c][c][c][c]c3n2-c2[c][c]c(Br)[c][c]2)n1
[C][C][C]([C])[C][C][C]1[C]([C])[C]1N([O])C(=[N])c1[c][c][c]c(Br)n1
[C]C1([C])N=C(c2[c][c][c]c(Br)n2)N([O])C1([C])[C]
[C][C][C]1[C][C][C]2[C]([C])[C]2N([O])[C](c2[c][c][c]c(Br)n2)[N][C]1
[C][Si]([C])([C])[C]/C(=C(\[C]([C]c1n[c][c][c]c1Br)[Si]([C])([C])[C])c1[c][c][c][c][c]1)c1[c][c][c][c][c]1
[C]c1[c]c(-c2nc3[c]c(Br)[c][c]c3n2[C])nc(-c2nc3[c]c(Br)[c][c]c3n2[C])[c]1
[C][C][C][C][C][C]Oc1[c]c(-c2nc3[c]c(Br)[c][c]c3n2[C][C][C]([C])[C])nc(-c2nc3[c]c(Br)[c][c]c3n2[C][C]C2([C])[C][C]2)[c]1
[C]c1c2c(nc3c1[C]=[C][C]n1c-3nc3[c]c(Br)[c][c]c31)-c1nc3[c]c(Br)[c][c]c3n1[C][C]=[C]2
[O]C(=O)c1[c][c][c]c(-c2nc3[c]c(Br)[c][c]c3o2)n1
[C]c1c([C]=[C])c(-c2nc3[c]c(Br)[c][c]c3n2[C][C]=[C])nc(-c2nc3[c]c(Br)[c][c]c3n2[C][C]=[C])c1[C]=[C]
Br[Al](Br)(Br)Br
[C][C]N([C][C])C(=O)[C](Br)C(=O)N([C][C])[C][C]
[C]C(=O)[C](Br)C([C])=O
O=C1[C](Br)[C]=C(Br)c2[c][c]c(-c3nc4[c][c][c][c]c4o3)nc21
[C][C][C]([C]OBr)[C]N([C]Br)c1[c][c][c][c][c]1
Br[Mg]Br
[O]c1c([O])c(Br)c(Br)c(Br)c1Br
[C][C]([C])OP(=O)([C]c1c(F)c(F)c(Br)c(F)c1F)O[C]([C])[C]
[O]C(=O)c1nc(C([O])=O)c(Br)c([O])c1Br
[C][C]([C])OP(=O)([C]c1c2[c][c][c][c]c2c(Br)c2[c][c][c][c]c12)O[C]([C])[C]
FC#CF
[C]C#C[C]
[C][C][C][C]1[C][C]2[C](/[C]=N\C#N)[C]([C]=[C])[C]12
N#Cc1[c][c]c(C(=O)[C]C(=O)c2[c][c]c(C#N)[c][c]2)[c][c]1
[N]C([N])=NC#N
N#CS[S]
[C]C#N
[C][C]c1[c]c([C](C#N)C#N)c([C][C])[c]c1[C](C#N)C#N
[C]c1[c]c([C](C#N)C#N)c([C])[c]c1[C](C#N)C#N
N#C[C](C#N)c1[c][c]c([C](C#N)C#N)[c][c]1
N#C[N]C#N
N#C[N]c1[c]c(Cl)[c][c]c1Cl
N#C[S]
N#C[Se]
[C]=[C][C]1[C][C][C]1[C]C#P
[C]C#[C]
[C][C][C]1[C]2[C]=[C][C](C#[C])[C]3[C]2[C]1C3=[C]
[C]#C[C][C]=S
[C][C][N][C]C#C[C][N]C#[C]
[C]#C[S@](=O)(SO[O])N([N])[S@](=O)/[C]=[C]/F
[C]=[C]C#[S]
[N]C#[S]
[O]/C(=[C]\C(=O)C(F)(F)F)C(F)(F)F
[O]/C(=[C]\C(=O)c1[c][c]c2[c][c][c][c]c2[c]1)C(F)(F)F
[C][C]n1[c]c(C(=O)/[C]=C(\[O])C(F)(F)F)c2[c][c][c][c]c21
[O]/C(=[C]\C(=O)c1[c][c][c]s1)C(F)(F)F
[O]/C(=[C]\C(=O)c1[c][c][c][c][c]1)C(F)(F)F
[O]/C(=[C]\C(=O)[C](F)F)C(F)(F)F
[C][C]C(=O)/[C]=C(\[O])C(F)(F)F
[C][C]([C])N([C]([C])[C])C(=O)[C]([C]1[C]=[C][C](C([O])=C(c2[c][c][c][c][c]2)c2[c][c][c][c][c]2)[C]=[C]1)c1[c][c][c][c][c]1
[C][C]S/C([C][C])=C(/[C]=S)C(=O)[C]C([C])=O
[C][C][C][C][C][C][C][C](O[P]OOP=[N])C(=C=[C][C])OOO[C]1[C][C][C][C][C][C][C][C][C][C][C]1
[C][C]C([C])=C=[C][C]
[C][C][C]/[C]=[C]\C([C][C])=C=[C][C]=[C]
[Na]N=C=S
[Li]N([C][C])/C([C])=N/C([C])([C])[C]
[C]/C([N][C]1[C][C][C]1)=N\C([C])([C])[C]
[C][C][N]/C([C])=N/C([C])([C])[C]
[C][C][C]([C][C])c1[c][c][c]c([C]([C])[C])c1[N]/C(=N/c1c([C]([C])[C])[c][c][c]c1[C]([C])[C])c1[c][c][c][c][c]1
[C][C][C]([C])c1[c][c][c]c([C]([C])[C])c1[N]/C(=N/c1c([C]([C])[C])[c][c][c]c1[C]([C])[C])c1[c][c][c][c][c]1
[C][C]([C])c1[c][c][c]c([C]([C])[C])c1[N]C(=[C])/C([C])=N/c1c([C]([C])[C])[c][c][c]c1[C]([C])[C]
[C][C]([C])c1[c][c][c]c([C]([C])[C])c1/N=C(\[C])[C]/C([C])=N/c1c([C]([C])[C])[c][c][c]c1[C]([C])[C]
[C][C]([C])c1[c][c][c]c([C]([C])[C])c1[N]/C(=N/c1c([C]([C])[C])[c][c][c]c1[C]([C])[C])N([C]c1[c][c][c][c][c]1)[C]c1[c][c][c][c][c]1
[C]1[C][C][C]([N]/C(C#Cc2[c][c][c][c][c]2)=N/[C@@]23[C]4[C][C]5[C][C]6[C][C]2[C@]63[C]4[C]5)[C][C]1
[C][C]([N]/C(=N/[C]([C])c1[c][c][c][c][c]1)c1[c][c][c][c][c]1)c1[c][c][c][c][c]1
[C][C]N([C])/C([N][C]([C])[C])=N\[C]([C])[C]
[C][C]([C])[N]/C(=N/[C]([C])[C])N([C][C]=[C])[C]([C])[C]=[C]
[C][C]C(=[C])[Si]([C]=[C])[N]N(/C([N][C]([C])[C])=N\[C]([C])[C])[Si]([C][C])C(=[C])[C]=[C]
[C][C]([C])[N]/C([C])=N/[C]([C])[C]
[C]1[C][C][C]([N]/C(C#Cc2[c][c][c][c][c]2)=N/[C]2[C][C][C][C][C]2)[C][C]1
[C]1[C][C][C]([N]/C(C#C[C]2[C][C]2)=N/[C]2[C][C][C][C][C]2)[C][C]1
[C][C]/N=C(\[C])[N]C([C])([C])[C]
O=C([N]/N=C(/c1[c][c][c][c][c]1)c1[c][c][c][c]n1)[N]/N=C(\c1[c][c][c][c][c]1)c1[c][c][c][c]n1
[N]=C(O[Na])/C(C#N)=N/[O]
[C]Oc1[c][c]c(/C([N][Si]([C])([C])[C])=N\[Si]([C])([C])[C])[c][c]1
O=C(/[C]=C(\O[Na])C(F)(F)F)C(F)(F)F
[O]/C(=[C]\C(=O)c1[c][c][c][c][c]1)c1[c][c][c][c][c]1
[C]/C([O])=[C]/C(=O)N([C]c1[c][c][c][c][c]1)[C]c1[c][c][c][c][c]1
[C]/C([O])=[C]/C(=O)N1[C][C][C][C]1
[O]/C(=[C]\C(=O)c1[c][c][c][c][c]1)c1[c][c][c][c]c1[O]
[O]C(=O)/[C]=[C]\C([O])=O
[O]C(=O)C(=O)[N]c1[c][c]c(Cl)[c][c]1
O=C([N]c1[c][c]c(O[Na])[c][c]1)C(=O)O[Na]
[O]c1[c][c]c([N]C(=O)C(=O)O[Na])[c][c]1
[O]C(=O)C(=O)[N]c1[c][c]c([O])[c][c]1
[O]C(=O)C([O])=O
O=C([N]P(=O)(N1[C][C][C][C][C]1)N1[C][C][C][C][C]1)C(Cl)(Cl)Cl
O=C([C]C(=O)C(F)(F)F)C(F)(F)F
O=C([C]C(=O)C(F)(F)F)c1[c][c]c2[c][c][c][c]c2[c]1
O=C([C]C(=O)C(F)(F)F)c1[c][c][c]s1
O=C([C]C(=O)C(F)(F)F)[C](F)F
[O]C(=O)C(F)(F)F
[C]C([C])([C])C(=O)[C]C(=O)C([C])([C])[C]
[C]C([C])([C])C([O])=O
[O]C(=O)C1=C(C([O])=O)[N]N=[C]1
[O]C(=O)C1=C(C([O])=O)N=C(c2[c]c(F)[c]c(F)[c]2)[N]1
[N][C][C]N([C][C]/N=[C]/c1[c][c][c]c(C([O])=O)c1[O])[C][C]/N=[C]/c1[c][c][c]c(C([O])=O)c1[O]
[O]C(=O)c1c([O])[c][c][c]c1[O]
[O]c1[c][c][c][c]c1C(=O)[N]/N=[C]/c1[c][c][c][c]n1
[O]OC(=O)c1[c][c][c]c(C([O])=O)n1
[O]C(=O)c1[c][c][c]c(C([O])=O)n1
[C]N1[C][C]N([C]c2[c][c][c]c(C([O])=O)n2)[C][C]N([C])[C][C]N([C]c2[c][c][c]c(C([O])=O)n2)[C][C]1
[O]C(=O)c1[c][c][c]c([C]N2[C][C]O[C][C]O[C][C]N([C]c3[c][c][c]c(C([O])=O)n3)[C][C]O[C][C]O[C][C]2)n1
[N]C(=O)c1[c][c][c]c([C]N2[C][C]O[C][C]O[C][C]N([C]c3[c][c][c]c(C([O])=O)n3)[C][C]O[C][C]O[C][C]2)n1
[O]C(=O)c1[c][c][c]c([C]N2[C][C][C]O[C][C]O[C][C]N([C]c3[c][c][c]c(C([O])=O)n3)[C][C]O[C]3[C][C]3O[C][C][C]2)n1
[O]C(=O)c1[c][c][c]c([C]N2[C][C][C][N@@]3[C][C]N([C]c4[c][c][c]c(C([O])=O)n4)[C][C][C][N@]([C][C]2)[C][C]3)n1
[O]C(=O)[C]1[C]=NN=C1C([O])=O
[N]c1[c][c]c(C([O])=O)n[c]1
[N]c1[c][c]c(C(=O)O[Na])n[c]1
[O]C(=O)c1[c][c]c(I)[c][c]1
[C]C(=O)[N]c1[c][c]c(C([O])=O)[c][c]1
[C]C(=O)[C]C(=O)c1[c][c]c2[c][c][c][c]c2[c]1
O=C([N]/N=[C]/c1[c][c][c][c]n1)c1[c][c]n[c][c]1
[O]C(=O)c1[c][c][c]c(C2([O])OO2)n1
[O]C(=O)c1[c][c][c]c(-c2[c][c][c]c(C([O])=O)n2)n1
[C]N1[C][C][C]N([C]c2[c][c][c]c(C([O])=O)n2)[C][C]N([C])[C][C][C]N([C]c2[c][c][c]c(C([O])=O)n2)[C][C]1
[O]C(=O)c1[c][c][c]c([C]N2[C][C]O[C][C]N([C]c3[c][c][c]c(C([O])=O)n3)[C][C]O[C][C]2)n1
[O]C(=O)c1[c][c][c]c([C]N2[C][C][N][C][C]N([C]c3[c][c][c]c(C([O])=O)n3)[C][C][N][C][C]2)n1
[C]C(=O)[C]C(=O)c1[c][c][c]s1
O=C([C]C(=O)c1[c][c][c][c][c]1)/C(F)=[C]/F
O=C([C]C(=O)C(F)(F)F)c1[c][c][c][c][c]1
O=C([C]C(=O)c1[c][c][c][c][c]1)c1[c][c][c][c][c]1
[C]C(=O)[C]C(=O)c1[c][c][c][c][c]1
